RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
658731,2015451422,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,12/31/2015,12/24/2015 06:00:00 PM,12/31/2015 03:00:00 PM,1XX BLOCK OF 22 AV E,C,C2,7600.2009,-122.303634644,47.619316101,"(47.619316101, -122.303634644)"
659390,2015447105,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,12/27/2015,12/26/2015 12:00:00 PM,12/27/2015 03:30:00 PM,2XX BLOCK OF 23 AV E,C,C2,7700.4004,-122.302490234,47.620792389,"(47.620792389, -122.302490234)"
660321,2015445147,1313,0,ASSLT-NONAGG,1300,ASSAULT,12/25/2015,12/25/2015 11:04:00 AM,,22XX BLOCK OF E MADISON ST,C,C2,7900.1000,-122.303100586,47.618797302,"(47.618797302, -122.303100586)"
661518,2015437106,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,12/17/2015,12/17/2015 02:25:00 PM,12/17/2015 08:30:00 PM,7XX BLOCK OF 21 AV E,C,C2,6400.3017,-122.304748535,47.626026154,"(47.626026154, -122.304748535)"
662182,2015432897,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/14/2015,12/14/2015 11:21:00 AM,12/14/2015 10:00:00 AM,4XX BLOCK OF 19 AV E,C,C2,7600.3000,-122.307312012,47.622638702,"(47.622638702, -122.307312012)"
662525,2015429354,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,12/11/2015,12/10/2015 04:00:00 PM,12/10/2015 08:00:00 PM,18XX BLOCK OF 17 AV,C,C2,7900.5003,-122.310134888,47.618061066,"(47.618061066, -122.310134888)"
663062,2015424113,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,12/07/2015,11/29/2015 08:00:00 PM,11/30/2015 05:00:00 AM,12XX BLOCK OF SHENANDOAH DR E,C,C2,6300.4007,-122.289535522,47.630725861,"(47.630725861, -122.289535522)"
663420,2015424379,1316,4,THREATS-OTHER,1300,THREATS,12/07/2015,12/07/2015 07:45:00 AM,,1XX BLOCK OF 23 AV E,C,C2,7600.2012,-122.302520752,47.619689941,"(47.619689941, -122.302520752)"
663542,2015423399,1313,0,ASSLT-NONAGG,1300,ASSAULT,12/06/2015,12/06/2015 09:30:00 AM,,20 AV / E MADISON ST,C,C2,7900.5001,-122.306137085,47.617259979,"(47.617259979, -122.306137085)"
663627,2015421046,1316,4,THREATS-OTHER,1300,THREATS,12/04/2015,12/04/2015 09:04:00 AM,,26XX BLOCK OF 22 AV E,C,C2,6200.2011,-122.303794861,47.643428802,"(47.643428802, -122.303794861)"
663738,2015422931,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,12/05/2015,11/23/2015 07:00:00 PM,,2XX BLOCK OF 21 AV E,C,C2,7600.201,-122.304725647,47.620803833,"(47.620803833, -122.304725647)"
664845,2015415510,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,11/29/2015,11/29/2015 03:00:00 PM,11/29/2015 05:20:00 PM,12XX BLOCK OF 25 AV E,C,C2,6400.1005,-122.300331116,47.629760742,"(47.629760742, -122.300331116)"
665217,2015412665,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,11/26/2015,11/26/2015 12:30:00 PM,11/26/2015 01:00:00 PM,9XX BLOCK OF 22 AV E,C,C2,6400.3011,-122.303565979,47.627738953,"(47.627738953, -122.303565979)"
665228,2015412330,1313,0,ASSLT-NONAGG,1300,ASSAULT,11/26/2015,11/26/2015 01:34:00 AM,,42XX BLOCK OF E MADISON ST,C,C2,6300.1012,-122.278259277,47.635616302,"(47.635616302, -122.278259277)"
665621,2015409660,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,11/23/2015,11/23/2015 07:30:00 PM,,22XX BLOCK OF 38 PL E,C,C2,6300.3008,-122.283866882,47.639041901,"(47.639041901, -122.283866882)"
665700,2015409060,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,11/23/2015,11/13/2015 12:00:00 AM,11/14/2015 12:00:00 AM,20XX BLOCK OF 43 AV E,C,C2,6300.1008,-122.277099609,47.638027191,"(47.638027191, -122.277099609)"
665773,2015408839,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,11/23/2015,11/22/2015 05:00:00 PM,11/23/2015 08:00:00 AM,18XX BLOCK OF 18 AV,C,C2,7900.5003,-122.308830261,47.618057251,"(47.618057251, -122.308830261)"
666656,2015404235,1316,5,THREATS-WEAPON,1300,THREATS,11/19/2015,11/19/2015 12:12:00 PM,,3XX BLOCK OF 19 AV E,C,C2,7600.2002,-122.3073349,47.621276855,"(47.621276855, -122.3073349)"
666810,2015402676,1313,0,ASSLT-NONAGG,1300,ASSAULT,11/18/2015,11/18/2015 09:18:00 AM,,17XX BLOCK OF E MADISON ST,C,C2,7900.4000,-122.309494019,47.6158638,"(47.6158638, -122.309494019)"
666850,2015403334,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,11/18/2015,11/18/2015 05:50:00 PM,,29XX BLOCK OF E MADISON ST,C,C2,6200.1053,-122.293777466,47.625110626,"(47.625110626, -122.293777466)"
668125,2015393113,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,11/10/2015,11/02/2015 04:00:00 PM,11/09/2015 08:00:00 AM,E MERCER ST / 19 AV E,C,C2,7600.1003,-122.307289124,47.624416351,"(47.624416351, -122.307289124)"
668309,2015392016,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,11/09/2015,11/09/2015 08:00:00 AM,11/09/2015 12:00:00 PM,17XX BLOCK OF 18 AV,C,C2,7900.5008,-122.308837891,47.617023468,"(47.617023468, -122.308837891)"
668568,2015390659,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,11/08/2015,11/08/2015 08:41:00 AM,,23XX BLOCK OF BOYER AV E,C,C2,6100.2021,-122.312942505,47.640666962,"(47.640666962, -122.312942505)"
668835,2015387486,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,11/05/2015,11/05/2015 09:30:00 AM,11/05/2015 12:45:00 PM,18XX BLOCK OF 24 AV E,C,C2,6200.2039,-122.301544189,47.636154175,"(47.636154175, -122.301544189)"
669156,2015384839,1316,3,THREATS-KILL,1300,THREATS,11/03/2015,11/03/2015 09:46:00 AM,,1XX BLOCK OF 22 AV E,C,C2,7600.2009,-122.303634644,47.619316101,"(47.619316101, -122.303634644)"
669350,2015384271,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,11/02/2015,11/02/2015 07:17:00 PM,,1XX BLOCK OF 22 AV E,C,C2,7600.2009,-122.303634644,47.619316101,"(47.619316101, -122.303634644)"
669516,2015382782,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,11/01/2015,10/30/2015 02:00:00 PM,11/01/2015 11:00:00 AM,15XX BLOCK OF 16 AV E,C,C2,6200.3002,-122.311203003,47.633224487,"(47.633224487, -122.311203003)"
669584,2015382822,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,11/01/2015,11/01/2015 12:01:00 AM,11/01/2015 08:00:00 AM,17XX BLOCK OF E HIGHLAND DR,C,C2,6400.2000,-122.309272766,47.630622864,"(47.630622864, -122.309272766)"
669688,2015382830,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,11/01/2015,10/29/2015 11:00:00 AM,11/01/2015 12:30:00 PM,BOYER AV E / 25 AV E,C,C2,6200.1059,-122.300605774,47.634986877,"(47.634986877, -122.300605774)"
669694,2015382723,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,11/01/2015,11/01/2015 11:00:00 AM,11/01/2015 11:45:00 AM,15XX BLOCK OF 16 AV E,C,C2,6200.3004,-122.311203003,47.633224487,"(47.633224487, -122.311203003)"
671277,2015370941,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,10/23/2015,10/22/2015 05:30:00 PM,10/23/2015 08:35:00 AM,23XX BLOCK OF ARBORETUM DR E,C,C2,6200.1047,-122.294624329,47.634147644,"(47.634147644, -122.294624329)"
671411,2015370962,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,10/23/2015,10/22/2015 08:00:00 PM,10/23/2015 07:00:00 AM,22XX BLOCK OF E REPUBLICAN ST,C,C2,7600.2000,-122.303009033,47.623180389,"(47.623180389, -122.303009033)"
671459,2015370437,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,10/22/2015,10/22/2015 08:03:00 PM,,2XX BLOCK OF 24 AV E,C,C2,7700.4002,-122.301147461,47.620769501,"(47.620769501, -122.301147461)"
671686,2015369912,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,10/22/2015,10/16/2015 12:00:00 PM,10/16/2015 05:30:00 PM,5XX BLOCK OF 19 AV E,C,C2,7600.1012,-122.307296753,47.623817444,"(47.623817444, -122.307296753)"
